MES,PROMEDIO_ROBOS
1,269.09090909090907
2,282.09090909090907
3,304.09090909090907
4,285.8181818181818
5,273.6363636363636
6,257.54545454545456
7,261.6363636363636
8,295.8181818181818
9,258.8
10,271.4
11,267.7
12,260.5
