Categoría,Rango,Varianza,Desv. Estándar,Media,Coef. Var. (%)
Por Cuadrante,1183,92550.85509227615,304.2217202835395,455.987012987013,66.71718966088275
Por Distrito,6245,7323832.5666666655,2706.2580377093877,5851.833333333333,46.246328006198425
Por Tipo Robo,9400,28153408.333333332,5305.978546256414,11703.666666666666,45.33603611053301
Por Mes,757,64126.628787878784,253.23236125716394,2925.9166666666665,8.654804292347034
