MES,MES_NOMBRE,TOTAL_ROBOS
1,Enero,262
2,Febrero,223
3,Marzo,210
4,Abril,195
5,Mayo,172
6,Junio,143
7,Julio,192
8,Agosto,185
9,Septiembre,156
10,Octubre,156
11,Noviembre,158
12,Diciembre,172
